anno	fondi
2020	4.1270237E8
2014	3.27815115E8
2022	3.14043199E8
2017	2.22371781E8
2018	1.84665016E8
2004	1.72466365E8
2006	1.68668207E8
2008	1.67363184E8
2000	1.28406495E8
2023	1.22006193E8
2010	1.08964206E8
2002	1.03837592E8
2009	1.03549195E8
2021	1.02775511E8
2007	1.02475007E8
2011	9.3344945E7
2016	9.1142273E7
2005	8.5702511E7
2013	7.8567634E7
2012	7.7543183E7
2015	6.503443E7
2019	6.3059973E7
2001	6.2467011E7
1999	5.4279784E7
2003	5.426276E7
1993	2.9638922E7
1997	1.2429831E7
1996	1.033968E7
1992	5024139.0
1995	3445140.0
1994	2261026.0
1998	2029820.0
1991	63000.0
