lon	lat	country	count
-3.2765753	54.7023545	united kingdom	1493
10.4478313	51.1638175	germany	1007
1.8883335	46.603354	france	836
-4.8379791	39.3260685	spain	626
5.6343227	52.2434979	netherlands	423
4.6667145	50.6402809	belgium	305
-100.445882	39.7837304	united states	280
14.5208584	59.6749712	sweden	263
21.9877132	38.9953683	greece	222
8.2319736	46.7985624	switzerland	215
-8.1353519	39.6621648	portugal	172
10.3333283	55.670249	denmark	149
14.12456	47.59397	austria	146
8.7876653	61.1529386	norway	114
19.134422	52.215933	poland	102
25.9209164	63.2467777	finland	97
34.8594762	30.8124247	israel	92
97.7453061	64.6863136	russia	90
-7.9794599	52.865196	ireland	79
15.3381061	49.7439047	czechia	74
34.9249653	38.9597594	turkey	63
19.5060937	47.1817585	hungary	59
104.999927	35.000074	china	57
14.8153333	46.1199444	slovenia	55
139.2394179	36.5748441	japan	53
24.6859225	45.9852129	romania	45
134.755	-24.7761086	australia	37
25.4856617	42.6073975	bulgaria	34
-53.2	-10.3333333	brazil	31
-71.3187697	-31.7613365	chile	30
-107.991707	61.0666922	canada	27
19.4528646	48.7411522	slovakia	24
33.1451285	34.9823018	cyprus	20
-18.1059013	64.9841821	iceland	20
25.3319078	58.7523778	estonia	20
-64.9672817	-34.9964963	argentina	19
24.991639	-28.8166236	south africa	18
78.6677428	22.3511148	india	18
15.6575209	45.3658443	croatia	17
23.7499997	55.3500003	lithuania	14
-102.0077097	23.6585116	mexico	13
6.1296751	49.8158683	luxembourg	11
120.9820179	23.9739374	taiwan	11
172.8344077	-41.5000831	new zealand	11
20.55144	44.1534121	serbia	10
24.7537645	56.8406494	latvia	10
127.6961188	36.638392	south korea	9
29.2675469	26.2540493	egypt	7
-7.3362482	31.1728205	morocco	7
31.2718321	49.4871968	ukraine	7
35.7878438	-6.5247123	tanzania	6
27.6971358	53.4250605	belarus	6
21.7168387	41.6171214	north macedonia	5
9.400138	33.8439408	tunisia	5
103.8194992	1.357107	singapore	4
29.4917691	14.5844444	sudan	4
28.5670941	47.2879608	moldova	4
14.4476911	35.8885993	malta	3
38.4313975	1.4419683	kenya	3
-72.9088133	4.099917	colombia	3
-56.0201525	-32.8755548	uruguay	3
117.8902853	-2.4833826	indonesia	3
17.5961467	44.3053476	bosnia and herzegovina	2
-1.6880314	12.0753083	burkina faso	2
100.83273	14.8971921	thailand	2
7.9999721	9.6000359	nigeria	2
-83.1137366	32.3293809	georgia	2
44.6736646	40.7696272	armenia	2
19.9999619	41.000028	albania	2
32.2166578	1.5333554	uganda	2
-1.0800271	8.0300284	ghana	2
-80.8328748	23.0131338	cuba	2
35.843409	33.8750629	lebanon	1
36.941628	31.1667049	jordan	1
-14.4529612	14.4750607	senegal	1
107.9650855	15.9266657	vietnam	1
13.1535811	4.6125522	cameroon	1
38.6521203	10.2116702	ethiopia	1
102.2656823	4.5693754	malaysia	1
71.247499	30.3308401	pakistan	1
39.0494106	34.6401861	syria	1
-42.8125967	77.6192349	greenland	1
19.5180992	42.9868853	montenegro	1
51.2295295	25.3336984	qatar	1
34.9144977	-19.302233	mozambique	1
63.9528098	41.32373	uzbekistan	1
-5.5679458	7.9897371	ivory coast	1
122.7312101	12.7503486	philippines	1
31.786904	35.233028	palestinian territory	1
42.3528328	25.6242618	saudi arabia	1
-70.3028026	19.0974031	dominican republic	1
-81.1308434	8.559559	panama	1
2.9999825	28.0000272	algeria	1
